bank,id,name,rate_hz,confidence,note
00,0000,,,,
00,0001,,,,
00,0002,,,,
00,0003,,,,
00,0004,,,,
00,0005,,,,
00,0006,,,,
00,0007,,,,
00,0008,,,,
00,0009,,,,
00,000A,? (loop),,,Exact decoded-audio match to WM2K Bank 00 ID 0024.
00,000B,flute,,,Exact decoded-audio match to WM2K Bank 00 ID 0029.
00,000C,,,,
00,000D,,,,
00,000E,guitar 1 (loop),,,Exact decoded-audio match to WM2K Bank 00 ID 000C.
00,000F,,,,
00,0010,,,,
00,0011,,,,
00,0012,,,,
00,0013,,,,
00,0014,,,,
00,0015,,,,
00,0016,,,,
00,0017,,,,
00,0018,,,,
00,0019,,,,
00,001A,,,,
00,001B,,,,
00,001C,,,,
00,001D,,,,
00,001E,,,,
00,001F,,,,
00,0020,,,,
00,0021,,,,
00,0022,,,,
00,0023,,,,
00,0024,,,,
00,0025,,,,
00,0026,,,,
00,0027,,,,
00,0028,low bass (loop),,,Exact decoded-audio match to WM2K Bank 00 ID 000A.
00,0029,med bass,,,Exact decoded-audio match to WM2K Bank 00 ID 000B.
00,002A,bass (loop),,,Exact decoded-audio match to WM2K Bank 00 ID 0011.
00,002B,,,,
00,002C,,,,
00,002D,,,,
00,002E,,,,
00,002F,,,,
00,0030,,,,
00,0031,,,,
00,0032,,,,
00,0033,,,,
00,0034,,,,
00,0035,,,,
00,0036,,,,
00,0037,,,,
00,0038,,,,
00,0039,,,,
00,003A,,,,
00,003B,,,,
00,003C,Explosion,,,Exact decoded-audio match to WM2K Bank 00 ID 002A.
00,003D,,,,
00,003E,cymbal light hit 3,,,Exact decoded-audio match to WM2K Bank 00 ID 0007.
00,003F,cymbal strike 2,,,Exact decoded-audio match to WM2K Bank 00 ID 0006.
00,0040,,,,
00,0041,,,,
00,0042,,,,
00,0043,,,,
00,0044,,,,
00,0045,,,,
00,0046,,,,
00,0047,,,,
00,0048,,,,
00,0049,,,,
00,004A,,,,
00,004B,,,,
00,004C,,,,
00,004D,,,,
00,004E,,,,
00,004F,,,,
00,0050,,,,
00,0051,,,,
00,0052,,,,
00,0053,,,,
00,0054,gong --------------------------------------------------------------------------------,,,Exact decoded-audio match to WM2K Bank 00 ID 002D.
01,0000,Ring Bell,11025,Reference,Exact decoded-audio match to WM2K Bank 01 ID 0000.
01,0001,Multiple Ring Bell,11025,Reference,Exact decoded-audio match to WM2K Bank 01 ID 0001.
01,0002,,,,
01,0003,,,,
01,0004,,,,
01,0005,,,,
01,0006,,,,
01,0007,,,,
01,0008,,,,
01,0009,Run into ring post,11025,Reference,Exact decoded-audio match to WM2K Bank 01 ID 001F.
01,000A,,,,
01,000B,,,,
01,000C,,,,
01,000D,,,,
01,000E,,,,
01,000F,,,,
01,0010,,,,
01,0011,,,,
01,0012,,,,
01,0013,,,,
01,0014,,,,
01,0015,,,,
01,0016,,,,
01,0017,,,,
01,0018,,,,
01,0019,,,,
01,001A,,,,
01,001B,,,,
01,001C,,,,
01,001D,,,,
01,001E,Bone Crack,11025,Reference,Exact decoded-audio match to WM2K Bank 01 ID 001E.
01,001F,,,,
01,0020,,,,
01,0021,,,,
01,0022,,,,
01,0023,,,,
01,0024,,,,
01,0025,,,,
01,0026,cheering,11025,Reference,Exact decoded-audio match to WM2K Bank 00 ID 0021.
01,0027,,,,
01,0028,,,,
01,0029,,,,
01,002A,(Crowd) Screaming,11025,Reference,Exact decoded-audio match to WM2K Bank 01 ID 002A.
01,002B,(Crowd) Booing,11025,Reference,Exact decoded-audio match to WM2K Bank 01 ID 002B.
01,002C,,,,
01,002D,(Crowd) 1,11025,Reference,Exact decoded-audio match to WM2K Bank 01 ID 002D.
01,002E,(Crowd) 2,11025,Reference,Exact decoded-audio match to WM2K Bank 01 ID 002E.
01,002F,(Crowd) 3,11025,Reference,Exact decoded-audio match to WM2K Bank 01 ID 002F.
01,0030,,,,
01,0031,,,,
01,0032,,,,
01,0033,,,,
01,0034,,,,
01,0035,,,,
01,0036,,,,
01,0037,,,,
01,0038,,,,
01,0039,,,,
01,003A,,,,
01,003B,,,,
01,003C,,,,
01,003D,,,,
01,003E,,,,
01,003F,,,,
01,0040,,,,
01,0041,,,,
01,0042,,,,
01,0043,,,,
01,0044,,,,
01,0045,,,,
01,0046,,,,
01,0047,,,,
01,0048,,,,
01,0049,,,,
01,004A,,,,
01,004B,,,,
01,004C,,,,
01,004D,,,,
01,004E,,,,
01,004F,,,,
01,0050,,,,
01,0051,,,,
01,0052,,,,
01,0053,,,,
01,0054,,,,
01,0055,,,,
01,0056,,,,
01,0057,,,,
01,0058,,,,
01,0059,,,,
01,005A,,,,
01,005B,,,,
01,005C,,,,
01,005D,,,,
01,005E,,,,
01,005F,,,,
01,0060,,,,
01,0061,,,,
01,0062,,,,
01,0063,,,,
01,0064,,,,
01,0065,,,,
01,0066,,,,
01,0067,,,,
01,0068,,,,
01,0069,,,,
01,006A,,,,
01,006B,,,,
01,006C,,,,
01,006D,,,,
01,006E,,,,
01,006F,,,,
01,0070,,,,
01,0071,,,,
01,0072,,,,
01,0073,,,,
01,0074,,,,
01,0075,,,,
01,0076,,,,
01,0077,,,,
01,0078,,,,
01,0079,,,,
01,007A,,,,
01,007B,,,,
01,007C,,,,
01,007D,,,,
01,007E,,,,
01,007F,,,,
01,0080,,,,
01,0081,,,,
01,0082,,,,
01,0083,,,,
01,0084,,,,
01,0085,,,,
01,0086,,,,
01,0087,,,,
01,0088,,,,
01,0089,,,,
01,008A,,,,
01,008B,,,,
01,008C,,,,
01,008D,,,,
01,008E,,,,
01,008F,,,,
01,0090,,,,
01,0091,,,,
01,0092,,,,
01,0093,,,,
01,0094,,,,
01,0095,,,,
01,0096,,,,
01,0097,,,,
01,0098,,,,
01,0099,,,,
01,009A,,,,
01,009B,,,,
01,009C,,,,
01,009D,,,,
01,009E,,,,
01,009F,,,,
01,00A0,,,,
01,00A1,,,,
01,00A2,,,,
01,00A3,,,,
01,00A4,,,,
02,0000,,,,
02,0001,,,,
02,0002,,,,
02,0003,,,,
02,0004,,,,
02,0005,Al,7200,Reference,Exact decoded-audio match to WM2K Bank 02 ID 000C.
02,0006,,,,
02,0007,,,,
