bank,id,name,rate_hz,confidence,note
00,0000,Bass Drum,,,Exact decoded-audio match to WM2000 Bank 00 / ID 0000.
00,0001,Snare Drum,,,Exact decoded-audio match to WM2000 Bank 00 / ID 0001.
00,0002,another drum,,,Exact decoded-audio match to WM2000 Bank 00 / ID 0002.
00,0003,cymbal light hit,,,Exact decoded-audio match to WM2000 Bank 00 / ID 0003.
00,0004,cymbal light hit 2,,,Exact decoded-audio match to WM2000 Bank 00 / ID 0004.
00,0005,cymbal strike,,,Exact decoded-audio match to WM2000 Bank 00 / ID 0005.
00,0006,cymbal strike 2,,,Exact decoded-audio match to WM2000 Bank 00 / ID 0006.
00,0007,cymbal light hit 3,,,Exact decoded-audio match to WM2000 Bank 00 / ID 0007.
00,0008,cowbell,,,Exact decoded-audio match to WM2000 Bank 00 / ID 0008.
00,0009,marimba or some other shaky instrument,,,Exact decoded-audio match to WM2000 Bank 00 / ID 0009.
00,000A,low bass (loop),,,Exact decoded-audio match to WM2000 Bank 00 / ID 000A.
00,000B,med bass,,,Exact decoded-audio match to WM2000 Bank 00 / ID 000B.
00,000C,guitar 1 (loop),,,Exact decoded-audio match to WM2000 Bank 00 / ID 000C.
00,000D,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,000E,guitar 3 (loop),,,Exact decoded-audio match to WM2000 Bank 00 / ID 000E.
00,000F,organ (loop),,,Exact decoded-audio match to WM2000 Bank 00 / ID 000F.
00,0010,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,0011,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,0012,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,0013,bass (loop),,,Exact decoded-audio match to WM2000 Bank 00 / ID 0011.
00,0014,,,,Exact decoded-audio match to WM2000 Bank 00 / ID 0012.
00,0015,guitar 5,,,Exact decoded-audio match to WM2000 Bank 00 / ID 0013.
00,0016,guitar 6,,,Exact decoded-audio match to WM2000 Bank 00 / ID 0014.
00,0017,guitar 7,,,Exact decoded-audio match to WM2000 Bank 00 / ID 0015.
00,0018,,,,Exact decoded-audio match to WM2000 Bank 00 / ID 0016.
00,0019,guitar 8,,,Exact decoded-audio match to WM2000 Bank 00 / ID 0017.
00,001A,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,001B,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,001C,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,001D,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,001E,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,001F,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,0020,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,0021,timpani,,,Exact decoded-audio match to WM2000 Bank 00 / ID 0018.
00,0022,guitar 9 (loop),,,Exact decoded-audio match to WM2000 Bank 00 / ID 0019.
00,0023,guitar 10,,,Exact decoded-audio match to WM2000 Bank 00 / ID 001A.
00,0024,guitar 11 (loop),,,Exact decoded-audio match to WM2000 Bank 00 / ID 001B.
00,0025,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,0026,guitar 12,,,Exact decoded-audio match to WM2000 Bank 00 / ID 001C.
00,0027,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,0028,guitar 14 (loop),,,Exact decoded-audio match to WM2000 Bank 00 / ID 001E.
00,0029,sawtooth? (loop),,,Exact decoded-audio match to WM2000 Bank 00 / ID 001F.
00,002A,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,002B,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,002C,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,002D,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,002E,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,002F,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,0030,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,0031,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,0032,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,0033,cheering,11025,Reference,Exact decoded-audio match to WM2000 Bank 00 / ID 0021.
00,0034,cheering (loop),11025,Reference,Exact decoded-audio match to WM2000 Bank 00 / ID 0022.
00,0035,Explosion,,,Exact decoded-audio match to WM2000 Bank 00 / ID 002A.
00,0036,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,0037,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,0038,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,0039,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,003A,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,003B,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,003C,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,003D,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,003E,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,003F,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,0040,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,0041,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,0042,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,0043,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,0044,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,0045,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,0046,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,0047,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,0048,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,0049,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,004A,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,004B,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,004C,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,004D,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,004E,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,004F,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,0050,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,0051,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,0052,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,0053,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,0054,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,0055,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,0056,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,0057,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,0058,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,0059,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,005A,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,005B,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,005C,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,005D,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,005E,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
00,005F,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
01,0000,Ring Bell,11025,Reference,Exact decoded-audio match to WM2000 Bank 01 / ID 0000.
01,0001,Multiple Ring Bell,11025,Reference,Exact decoded-audio match to WM2000 Bank 01 / ID 0001.
01,0002,,,,Exact decoded-audio match to WM2000 Bank 01 / ID 0002.
01,0003,,,,No exact decoded-audio match in the corresponding WM2000 bank; identification needed.
01,0004,,,,Exact decoded-audio match to WM2000 Bank 01 / ID 0004.
01,0005,,,,Exact decoded-audio match to WM2000 Bank 01 / ID 0005.
01,0006,,,,Exact decoded-audio match to WM2000 Bank 01 / ID 0006.
01,0007,,,,Exact decoded-audio match to WM2000 Bank 01 / ID 0007.
01,0008,,,,Exact decoded-audio match to WM2000 Bank 01 / ID 0008.
01,0009,,,,Exact decoded-audio match to WM2000 Bank 01 / ID 0009.
01,000A,,,,Exact decoded-audio match to WM2000 Bank 01 / ID 000A.
01,000B,,,,Exact decoded-audio match to WM2000 Bank 01 / ID 000B.
01,000C,,,,Exact decoded-audio match to WM2000 Bank 01 / ID 000C.
01,000D,,,,Exact decoded-audio match to WM2000 Bank 01 / ID 000D.
01,000E,,,,Exact decoded-audio match to WM2000 Bank 01 / ID 000E.
01,000F,,,,Exact decoded-audio match to WM2000 Bank 01 / ID 000F.
01,0010,,,,Exact decoded-audio match to WM2000 Bank 01 / ID 0010.
01,0011,,,,Exact decoded-audio match to WM2000 Bank 01 / ID 0011.
01,0012,,,,Exact decoded-audio match to WM2000 Bank 01 / ID 0012.
