bank,id,name,rate_hz,confidence,note
00,0021,crowd,11025,Reference,
00,0022,crowd loop,11025,Reference,
00,0025,bass rumble,22050,Reference,
00,0029,Flute thing,22050,Reference,
00,002A,Explosion,22050,Reference,
00,002B,Wolf howl,22050,Reference,
01,0000,Ring Bell,11025,Reference,
01,0001,end of match ring bell,11025,Reference,
01,0002,,,,
01,0003,,,,
01,0004,,,,
01,0005,,,,
01,0006,,,,
01,0007,,,,
01,0008,,,,
01,0009,,,,
01,000A,squeaking,,,
01,000B,,,,
01,000C,,,,
01,000D,,,,
01,000E,,,,
01,000F,,,,
01,0010,,,,
01,0011,,,,
01,0012,,,,
01,0013,,,,
01,0014,,,,
01,0015,,,,
01,0016,,,,
01,0017,,,,
01,0018,,,,
01,0019,,,,
01,001A,,,,
01,001B,,,,
01,001C,,,,
01,001D,,,,
01,001E,bone snap,11025,Reference,
01,001F,DONG.,11025,Reference,
01,0020,,,,
01,0021,,,,
01,0022,,,,
01,0023,,,,
01,0024,,,,
01,0025,,,,
01,0026,,,,
01,0027,,,,
01,0028,,,,
01,0029,,,,
01,002A,screaming [crowd],11025,Reference,
01,002B,BOOOO [crowd],11025,Reference,
01,002C,looping crowd noise,11025,Reference,
01,002D,one [crowd],11025,Reference,
01,002E,two [crowd],11025,Reference,
01,002F,three [crowd],11025,Reference,
01,0030,,,,
01,0031,,,,
01,0032,groaning in submission,22050,Reference,
01,0033,,,,
01,0034,,,,
01,0035,,,,
01,0036,,,,
01,0037,thunder rumble,,Estimate,unsure which sampling rate
01,0038,,,,
01,0039,swoosh sound from menus,11025,Reference,
01,003A,gunshot/explosion,22050,Reference,
01,003B,swoosh sound 2 from menus,22050,Reference,
01,003C,three count fall,33075,Reference,
01,003D,give up,33075,Reference,
01,003E,time up,33075,Reference,
01,003F,draw game,33075,Reference,
01,0040,ring out,33075,Reference,
01,0041,double ring out,33075,Reference,
01,0042,knockout,33075,Reference,
01,0043,loser,33075,Reference,
01,0044,one [outside count],11025,Reference,
01,0045,two [outside count],11025,Reference,
01,0046,three [outside count],11025,Reference,
01,0047,four [outside count],11025,Reference,
01,0048,five [outside count],11025,Reference,
01,0049,six [outside count],11025,Reference,
01,004A,seven [outside count],11025,Reference,
01,004B,eight [outside count],11025,Reference,
01,004C,nine [outside count],11025,Reference,
01,004D,ten [outside count],11025,Reference,
01,004E,eleven [outside count],11025,Reference,
01,004F,twelve [outside count],11025,Reference,
01,0050,thirteen [outside count],11025,Reference,
01,0051,fourteen [outside count],11025,Reference,
01,0052,fifteen [outside count],11025,Reference,
01,0053,sixteen [outside count],11025,Reference,
01,0054,seventeen [outside count],11025,Reference,
01,0055,eighteen [outside count],11025,Reference,
01,0056,Ninteen [outside count],11025,Reference,
01,0057,Twenty [outside count],11025,Reference,
01,0058,fight!,11025,Reference,
01,0059,break!,11025,Reference,
01,005A,one [pin],11025,Reference,
01,005B,two [pin],11025,Reference,
01,005C,three [pin],11025,Reference,
01,005D,,,,
01,005E,firework,22050,Reference,
01,005F,fireworks,22050,Reference,
01,0060,fireworks,22050,Reference,
01,0061,,,,
01,0062,,,,
01,0063,,,,
01,0064,,,,
01,0065,lightning?,,Estimate,unsure which sampling rate; is this from revenge?
01,0066,,,,
01,0067,,,,
01,0068,,,,
01,0069,,,,
01,006A,count two!,11025,Reference,
01,006B,escape!,11025,Reference,
01,006C,,,,
01,006D,stop!,,Estimate,unsure which sampling rate
01,006E,,,,
01,006F,,,,
01,0070,,,,
01,0071,,,,
01,0072,,,,
01,0073,,,,
01,0074,,,,
01,0075,,,,
01,0076,Explosion,22050,Reference,
02,0000,Giant Baba,,,
02,0001,Misawa,,,
02,0002,Yoshinari Ogawa,,,
02,0003,Kenta Kobashi,,,
02,0004,Jun Akiyama,,,
02,0005,Kawada,,,
02,0006,Akira Taue,,,
02,0007,Stan Hansen,,,
02,0008,NTV Sports theme,,,
02,0009,STRIKER (All Japan Triple Crown theme),,,
03,0000,,,,
03,0001,,,,
03,0002,,,,
03,0003,,,,
03,0004,,,,
03,0005,,,,
03,0006,,,,
03,0007,,,,
03,0008,,,,
03,0009,,,,
03,000A,,,,
03,000B,,,,
03,000C,,,,
03,000D,,,,
03,000E,,,,
03,000F,,,,
03,0010,,,,
03,0011,,,,
03,0012,,,,
03,0013,main evento,,,
03,0014,,,,
03,0015,,,,
03,0016,,,,
03,0017,,,,
03,0018,,,,
03,0019,,,,
03,001A,,,,
