bank,id,name,rate_hz,confidence,note
00,0000,Bass Drum,,,
00,0001,Snare Drum,,,
00,0002,another drum,,,
00,0003,cymbal light hit,,,
00,0004,cymbal light hit 2,,,
00,0005,cymbal strike,,,
00,0006,cymbal strike 2,,,
00,0007,cymbal light hit 3,,,
00,0008,cowbell,,,
00,0009,marimba or some other shaky instrument,,,
00,000A,low bass (loop),,,
00,000B,med bass,,,
00,000C,guitar 1 (loop),,,
00,000D,guitar 2 (loop),,,
00,000E,guitar 3 (loop),,,
00,000F,organ (loop),,,
00,0010,guitar 4 (loop),,,
00,0011,bass (loop),,,
00,0012,,,,
00,0013,guitar 5,,,
00,0014,guitar 6,,,
00,0015,guitar 7,,,
00,0016,,,,
00,0017,guitar 8,,,
00,0018,timpani,,,
00,0019,guitar 9 (loop),,,
00,001A,guitar 10,,,
00,001B,guitar 11 (loop),,,
00,001C,guitar 12,,,
00,001D,guitar 13 (loop),,,
00,001E,guitar 14 (loop),,,
00,001F,sawtooth? (loop),,,
00,0020,,,,
00,0021,cheering,11025,Reference,
00,0022,cheering (loop),11025,Reference,
00,0023,,,,
00,0024,? (loop),,,
00,0025,bass ride,,,
00,0026,sax 1,,,
00,0027,sax 2,,,
00,0028,sax 3,,,
00,0029,flute,,,
00,002A,Explosion,,,
00,002B,Howl,,,
00,002C,some sort of synth (loop),,,
00,002D,gong --------------------------------------------------------------------------------,,,
01,0000,Ring Bell,11025,Reference,
01,0001,Multiple Ring Bell,11025,Reference,
01,0002,,,,
01,0003,,,,
01,0004,,,,
01,0005,,,,
01,0006,,,,
01,0007,,,,
01,0008,,,,
01,0009,,,,
01,000A,,,,
01,000B,,,,
01,000C,,,,
01,000D,,,,
01,000E,,,,
01,000F,,,,
01,0010,,,,
01,0011,,,,
01,0012,,,,
01,0013,,,,
01,0014,,,,
01,0015,,,,
01,0016,,,,
01,0017,,,,
01,0018,,,,
01,0019,,,,
01,001A,,,,
01,001B,,,,
01,001C,,,,
01,001D,,,,
01,001E,Bone Crack,11025,Reference,
01,001F,Run into ring post,11025,Reference,
01,0020,,,,
01,0021,,,,
01,0022,,,,
01,0023,,,,
01,0024,,,,
01,0025,,,,
01,0026,,,,
01,0027,,,,
01,0028,,,,
01,0029,,,,
01,002A,(Crowd) Screaming,11025,Reference,
01,002B,(Crowd) Booing,11025,Reference,
01,002C,(Crowd) Loop,11025,Reference,
01,002D,(Crowd) 1,11025,Reference,
01,002E,(Crowd) 2,11025,Reference,
01,002F,(Crowd) 3,11025,Reference,
01,0030,,,,
01,0031,,,,
01,0032,,,,
01,0033,,,,
01,0034,,,,
01,0035,,,,
01,0036,,,,
01,0037,,,,
01,0038,,,,
01,0039,Sting yell?,18000,Estimate,18000 but unsure
01,003A,,,,
01,003B,,,,
01,003C,,,,
01,003D,Randy Savage: OH YEAH!,18000,Estimate,18000 but unsure
01,003E,,,,
01,003F,,,,
01,0040,,,,
01,0041,,,,
01,0042,,,,
01,0043,,,,
01,0044,,,,
01,0045,,,,
01,0046,,,,
01,0047,,,,
01,0048,,,,
01,0049,,,,
01,004A,,,,
01,004B,,,,
01,004C,Revenge Title Noise,,Unknown,???
01,004D,,,,
01,004E,,,,
01,004F,Fire loop,,Unknown,??
01,0050,,,,
01,0051,,,,
01,0052,,,,
01,0053,,,,
01,0054,,,,
01,0055,,,,
01,0056,,,,
01,0057,,,,
01,0058,,,,
01,0059,,,,
01,005A,,,,
01,005B,,,,
01,005C,hiiii-yah (from Revenge credits),22050,Reference,
01,005D,,,,
01,005E,Swoosh,,,
01,005F,Three Count Four (fall),,,
01,0060,Give Up,,,
01,0061,Time Up,,,
01,0062,Draw Game,,,
01,0063,Ring Out,,,
01,0064,Double Ring Out,,,
01,0065,Knockout,,,
